,,,,,,,,,,,,,,,
,"1 ~ 3 enchantements aléatoires : https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217524
une ★ armor reprend les enchantement de sa pièce d'origine et relance aléatoirement les valeures numériques :
(lien ?)",,,,,,,,,,,,,,
,,Armor,,,★,,Garment,,,★,,Shoes,,,★
,Enchantement 1,,,,,,% Max HP,,1~5,?,,,,,
,,,,,,,Max SP,,25~50,?,,,,,
,,,,,,,% Max SP,,1~5,?,,,,,
,,Max HP,,150~350,?,,Max HP,,150~250,?,,Max HP,,150~250,?
,,,,,,,,,,,,,,,
,Enchantement 2,,,,,,DEF,,10~50,?,,,,,
,,,,,,,M.DEF,,2~5,?,,,,,
,,,,,,,FLEE,,5~15,?,,,,,
,,,,,,,Reduce physical vs [Neutral],,5~10%,?,,HIT,,5~10,?
,,,,,,,Reduce magical vs [Neutral],,5~10%,?,,Healing received,, +5~10% ,?
,,,,,,,Healing received,, +3~7% ,?,,,,,
,,,,,,,Variable casting time,,  - 5~10% ,?,,,,,
,,HP recovery,,15~50%,?,, +x% [Neutral] resistance ,,1~5%,?,,,,,
,,SP recovery,,15~50%,?,,Healing received,, +3~7% ,?,,,,,
,,,,,,,,,,,,,,,
,Enchantement 3,,,,,,.+x% Resistance vs [Formless] monster,,3~7%,,,,,,
,,,,,,,Max SP,,25~50,,,,,,
,,Max HP,,150~350,?,,Max HP,,150~300,?,,Max HP +150~300,,150~300,?
,,,,,,,,,,,,,,,
,     Enchant. MvP,,,,,,,,,,,,,,
,4 enchantements aléatoires : https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217849 ,,,,,,,,,,,,,,
,,Arme physique mele et distance,,,,,Armes magiques,,,,,,,,
,Enchantement 1,ATK +5~30,ATK +1~5%,,,,M.ATK +5~30,M.ATK +1~5%,,,,,,,
,,,,,,,,,,,,,,,
,Enchantement 2,HIT +5~20,FLEE +5~20,,,,FLEE + 10~20,,,,,,,,
,,ASPD +1,Attack speed +5~7%,,,,Healing spell +5~10%,,,,,,,,
,,CRIT +2~5,Critical damage +5~10%,,,,Variable casting time - 5~10%,,,,,,,,
,,Physical damage vs [Neutral], 5~10%,,,,Magical damage vs [Neutral],5~10%,,,,,,,
,,,,,,,,,,,,,,,
,Enchantement 3,Physical damage vs [Formless], 5~10%,,,,Magical damage vs [Formless], 5~10%,,,,,,,
,,Ignore x% DEF vs [Formless], 5~15%,,,,Ignore x% M.DEF vs [Formless], 5~15%,,,,,,,
,,Physical damage vs [Non-Boss],3~7%,,,,Magical damage vs [Non-Boss],3~7%,,,,,,,
,,Physical damage vs [Boss],3~7%,,,,Magical damage vs [Boss],3~7%,,,,,,,
,,,,,,,,,,,,,,,
,Enchantement 4,ATK +10~25,ATK +1~7%,,,,M.ATK +5~30,M.ATK +1~5%,,,,,,,
,,HIT +5~25,FLEE +10~25,,,,Variable casting time - 5~15%,,,,,,,,
,,ASPD +1~3,,,,,,,,,,,,,
,,Physical damage vs [Neutral], 5~20%,,,,Magical damage vs [Neutral], 5~20%,,,,,,,
,,Physical damage vs [Formless], 5~20%,,,,Magical damage vs [Formless], 5~20%,,,,,,,
,,,,,,,,,,,,,,,
,     Enchant. Forge Blacksmith,,,,,,,,,,,,,,
,4 enchantements aléatoires : https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217713 ,,,,,,,,,,,,,,
,Enchantement 1,ATK +1~60,ATK +1~15%,,,,,,,,,,,,
,,HIT +1~40,CRIT +1~20,,,,,,,,,,,,
,,Physical damage vs [Neutral],1~50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Enchantement 2,ASPD +1~3,FLEE +1~40,,,,,,,,,,,,
,,Critical damage +1~35%,Attack speed +1~20%,,,,,,,,,,,,
,,Longue range ATK damage +1~20%,,,,,,,,,,,,,
,,increased physical damage vs [Small] by 1~35%,,,,,,,,,,,,,
,,increased physical damage vs [Medium] by 1~35%,,,,,,,,,,,,,
,,increased physical damage vs [Large] by 1~35%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Enchantement 3,Max HP + 1~1000,Max SP + 1~200,,,,,,,,,,,,
,,Reduce SP cost of skill by 1~10%,,,,,,,,,,,,,
,,Physical damage vs [Formless],1~50%,,,,,,,,,,,,
,,(monster),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Enchantement 4
(Rank 1~5 : garanti
Rank 6~10 : x % chance)",Ignore x% DEF vs [Formless],1~25%,,,,,,,,,,,,
,,(monster),,,,,,,,,,,,,
