,,,,,,,,,,,
,SKILL  →,," [ [ [ [ M.ATK Finale x % Hard M.DEF x (1 - % Ignore M.DEF ) ] x ( % Bonus Skill + % Formule Skill ) ] x % avantage élement ] - Soft DEF ]
(des doutes sur l'agencement)",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Formule ASPD (validée à 100%),,,,,,,,,,
,,,,,,,,,,,
,(Stats bonus),,"[ √ ( DEX² / 5 + AGI² / 2 ) / 4 ]
[ √ ( DEX² / 7 + AGI² / 2 ) / 4 ]","(Mélée weapon)
(Bow / Instrument / Whip)",,,,,,,
,A,,[ Base ASPD - Weapon Penalty + Shield OR Weapon 2 Penalty + Stats Bonus + ( Skill & Potion Bonus x  AGI / 200 ) ],,,,,,"→ Base ASPD
→ Weapon penalty
→ Shield Penalty","Se référer au tableau 
dans l'onglet DPS [DEV]",
,B,,[ ( 195 - A ) x % Attack Speed ) + A ],,,,,,→ Skill & Potion bonus,"Proviens de skill comme par exemple [Two Handed Quicken]
Exemple de potion : Awakening ou Berserk potion.",
,ASPD,,[ B + Flat ASPD ],,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
, Formules DEF & M.DEF (validée à 100%),,,,,,,,,,
,,,,,,,,,,,
,% Réduction Physique,,[ 100 - ( ( 4000 + DEF ) / ( 4000 + DEF x 10 ) x 100 ) ],,,,,,,,
,% Réduction Magique,,[ 100 - ( ( 1000 + M.DEF ) / ( 1000 + M.DEF x 10 ) x 100 ) ],,,,,,,,
,,,,,,,,,,,
, Formule Variable cast time (validée à 100%),,,,,,,,,,
,,,,,,,,,,,
,% VTC Stats,,[ ( INT + DEX x 2 ) / 530 ],,,,,,,,
,% Réduction VTC,,( % VTC Stats ) x ( % VTC Skill ) x ( % VTC Stuff ),,,,,,,,
